ts,Temperature,Flow,Pressure,AccumulateFlow
2023-06-14 14:11:45+00:00,26.9,67,3.51,810
2023-06-14 14:12:04+00:00,26.9,34,3.51,820
2023-06-14 14:12:16+00:00,26.9,58,3.51,820
2023-06-14 14:12:18+00:00,26.9,60,3.51,820
2023-06-14 14:11:30+00:00,26.9,62,3.52,800
2023-06-14 14:11:43+00:00,26.9,28,3.52,800
2023-06-14 14:11:49+00:00,26.9,42,3.52,810
2023-06-14 14:10:58+00:00,26.9,29,3.45,780
2023-06-14 14:11:37+00:00,26.9,44,3.45,800
2023-06-14 14:11:41+00:00,26.9,0,3.45,800
2023-06-14 14:12:37+00:00,26.9,23,1.6,830
2023-06-14 14:11:25+00:00,26.9,24,3.46,790
2023-06-14 14:11:55+00:00,26.9,27,3.49,810
2023-08-04 12:22:11+00:00,27.9,66,2.4,520
2023-06-14 13:49:01+00:00,27.9,0,1.03,230
2023-06-14 13:49:11+00:00,27.9,0,1.53,230
2023-06-14 13:49:08+00:00,27.9,0,1.5,230
2023-06-14 13:46:01+00:00,27.9,0,1.75,230
2023-06-14 13:46:08+00:00,27.9,0,1.75,230
2023-06-14 13:46:12+00:00,27.9,0,1.75,230
2023-06-14 13:46:15+00:00,27.9,0,1.75,230
2023-06-14 13:49:04+00:00,27.9,0,1.51,230
2023-06-14 13:48:26+00:00,27.9,0,1.7,230
2023-06-14 13:48:29+00:00,27.9,0,1.7,230
2023-06-14 13:48:33+00:00,27.9,0,1.7,230
2023-06-14 13:48:36+00:00,27.9,0,1.7,230
2023-06-14 13:48:43+00:00,27.9,0,1.7,230
2023-06-14 13:48:50+00:00,27.9,0,1.7,230
2023-06-14 13:48:54+00:00,27.9,0,1.7,230
2023-06-14 13:48:57+00:00,27.9,0,1.7,230
2023-06-14 13:47:57+00:00,27.9,0,1.71,230
2023-06-14 13:48:01+00:00,27.9,0,1.71,230
2023-06-14 13:48:04+00:00,27.9,0,1.71,230
2023-06-14 13:48:08+00:00,27.9,0,1.71,230
2023-06-14 13:47:29+00:00,27.9,0,1.72,230
2023-06-14 13:47:32+00:00,27.9,0,1.72,230
2023-06-14 13:47:36+00:00,27.9,0,1.72,230
2023-06-14 13:47:39+00:00,27.9,0,1.72,230
2023-06-14 13:47:43+00:00,27.9,0,1.72,230
2023-06-14 13:47:46+00:00,27.9,0,1.72,230
2023-06-14 13:47:50+00:00,27.9,0,1.72,230
2023-06-14 13:47:53+00:00,27.9,0,1.72,230
2023-06-14 13:47:08+00:00,27.9,0,1.73,230
2023-06-14 13:47:11+00:00,27.9,0,1.73,230
2023-06-14 13:47:15+00:00,27.9,0,1.73,230
2023-06-14 13:47:18+00:00,27.9,0,1.73,230
2023-06-14 13:47:22+00:00,27.9,0,1.73,230
2023-06-14 13:47:25+00:00,27.9,0,1.73,230
2023-06-14 13:46:22+00:00,27.9,0,1.74,230
2023-06-14 13:46:26+00:00,27.9,0,1.74,230
2023-06-14 13:46:29+00:00,27.9,0,1.74,230
2023-06-14 13:46:33+00:00,27.9,0,1.74,230
2023-06-14 13:46:36+00:00,27.9,0,1.74,230
2023-06-14 13:46:40+00:00,27.9,0,1.74,230
2023-06-14 13:46:43+00:00,27.9,0,1.74,230
2023-06-14 13:46:50+00:00,27.9,0,1.74,230
2023-06-14 13:46:57+00:00,27.9,0,1.74,230
2023-06-14 13:47:01+00:00,27.9,0,1.74,230
2023-06-14 13:47:04+00:00,27.9,0,1.74,230
